task,gold,examples,total_words_mean,likely_truncated_rate,accuracy
task1,Ambivalent,4912,379.20846905537456,0.28013029315960913,0.7361563517915309
task1,Clear Non-Reply,752,157.20212765957447,0.06382978723404255,0.6023936170212766
task1,Clear Reply,2320,304.86206896551727,0.18275862068965518,0.6168103448275862
task2,Claims ignorance,256,176.3046875,0.02734375,0.4296875
task2,Clarification,178,124.02247191011236,0.0898876404494382,0.7584269662921348
task2,Declining to answer,318,180.97798742138366,0.07861635220125786,0.42452830188679247
task2,Deflection,755,379.21059602649007,0.28211920529801326,0.22781456953642384
task2,Dodging,1512,284.75066137566137,0.17923280423280424,0.44246031746031744
task2,Explicit,2304,287.58637152777777,0.19010416666666666,0.625
task2,General,1000,404.0,0.315,0.194
task2,Implicit,1242,382.9911433172303,0.27375201288244766,0.2673107890499195
task2,Partial/half-answer,155,404.8838709677419,0.36774193548387096,0.01935483870967742
task2,,264,403.4848484848485,0.36363636363636365,
